Plant Scientific Name stringFilter,Plant Common Name stringFilter,Image imageType,Contaminants Csvfilteror,Accumlation Quantity (if known) csvFilterOr,Accumlation Type (if known) csvFilterOr,Source for Phyto ,Notes ,Search All stringFilter - Hidden
Paspalum scrobiculatum,Kodo Millet,,Petroleum Hydrocarbons,Accumulator/Tolerant,Phytodegradation,"Anyasi RO, Atagana HI. Profiling of plants at petroleum contaminated site for phytoremediation. Int J Phytoremediation. 2018;20(4):352-361. doi:10.1080/15226514.2017.1393386",,
Paspalum vaginatum,Seashrore Paspalum,,Petroleum Hydrocarbons,Accumulator/Tolerant,Phytodegradation,"Anyasi RO, Atagana HI. Profiling of plants at petroleum contaminated site for phytoremediation. Int J Phytoremediation. 2018;20(4):352-361. doi:10.1080/15226514.2017.1393386",,
Paulownia tomentosa,Empress Tree,,"Heavy Metals, Hydrocarbons",Accumulator,,"(Phyto Textbook) Macci, C., Doni, S., Peruzzi, E., Bardella, S., Filippis, G., Ceccanti, B., and Masciandaro, G. 2012. A real-scale soil phytoremediation. Biodegredation 24 (4) pp. 521-539",,
Pelargonium graveolens,Rose Scented Geranium,,"Cadmium, Nickel, Chromium, Lead",Hyperaccumulator,Accumulator,"Chand S, Singh G, Patra DD. Performance of rose scented geranium (Pelargonium graveolens) in heavy metal polluted soil vis-Ã -vis phytoaccumulation of metals. Int J Phytoremediation. 2016;18(8):754-760. doi:10.1080/15226514.2015.1131236",,
Pelargonium roseum,Scented Geraniums,,"Nickel, Cadmium, Lead",Hyperaccumulator,Phytoaccumulation,"(Phyto Textbook) Mahdieh, M., Yazdani, M., and Mahdieh, S. 2013. The high potential of Pelargonium roseum plant for phytoremediation of heavy metals. Envionmental Monitoring and Assessment, pp. 1-5.",,
Peltophorum pterocarpum,Copperpod,,Lead,Accumulator,Phytostabilization,"(Phyto Textbook) Meeinkuirt, W., Pokethitiyook, P., Kruatrachue, M., Tanhan, P., and Chairyarat, R. 2012. Phytostabilization of a Pb-contaminated mine tailing by various tree species in pot and field trial experiments. International Journal of Phytoremediation 14 (9), pp. 925-938.",,
Pennisetum purpureum Schum.,Elephantgrass,,Excess Soil Ph,,,"(Phyto Textbook) Silveira, M. L., Vendramini, J. M. B., Sui, X., Sollenberger, L., and O'Connor, G. A. 2013. Screening perennial warm-season bioenergy crops as an alternative for phytoremediation of excess soil P. Bioenergy Reserach 6 (2) pp. 469-475.",,
Petroselinum crispum,Parsley,,Mercury,Accumulator,Phytoextraction,"Bibi A, Farooq U, Naz S, et al. Phytoextraction of HG by parsley (Petroselinum crispum) and its growth responses. Int J Phytoremediation. 2016;18(4):354-357. doi:10.1080/15226514.2015.1109590",,
Phalaris arundinacea,Reed Canary Grass,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/8c7f4111-3dd2-4bfb-a693-d6d991c63162/ReedCanaryGrass.jpg?content-type=image%2Fjpeg,Cadmium,N/A,N/A,"1) Phytoremediation of RadioÃ‚Â¬nuclides. Dushenkov et al. 1998, Negri and Hinchman 2000, Huang et al. 1998, et al. 1997, Negri and Hinchman 2000, Dushenkov et al. 1998. http://rydberg.biology.colostate.edu/Phytoremediation/2000/Lawra/BZ580.htm (Cesium, Nickel, PAH, and PCB source)
 2) http://en.wikipedia.org/wiki/List_of_hyperaccumulators","Glomus mosseae as chelating agent (amendment). It increases the surface area of the plan roots, allowing roots to acquire more nutrients, water and therefore more available radionuclides in soil solution. USDA hardiness zones 4 through 9.",
Phanerochaete chrysosporium,White Rot Fungi,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/6b846aae-e200-4394-889b-560583823d0d/WhiteRotFungi.jpg?content-type=image%2Fjpeg,Trichloroethylene (Tce) Â And By-Products,N/A,Rhizodegradation,"1) Koehler, H., J. Warrelmann, T. Frische, P. Behrend, and U. Walter. (2002) In-Situ Phytoremediation of TNT- Contaminated Soil. Acta Biotechnologia 22:1-2, 67-80.
 2) http://www.flickr.com/photos/afternoon_sunlight/153130808/ (Photo Source)",,
Phapis excelsa,Lady Palm,,"Carbon Monoxide, Formaldehyde",Accumulator,N/A,1) B.C Wolverton and John D. Wolverton. Wolverton Environmental Services. http://www.wolvertonenvironmental.com/MsAcad-93.pdf,USDA hardiness zones: 8B through 11.,
Philodendron scandens,Heart-Leaf Philodendron,,Formaldehyde,N/A,Phytoextraction,"1) April 2003, Jeremiah Knuth, Department of Civil Engineering, Colorado State University.http://rydberg.biology.colostate.edu/Phytoremediation/2003/Knuth/home.htm","Light: semi-shade, climber, easy maintenance. USDA hardiness zones: 10B through 11",
Phoenix roebelenii,Dwarf Date Palm,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/ebf81e71-2c1b-4305-a4ff-27abb167d81d/DwarfDatePalm.jpg?content-type=image%2Fjpeg,"Benzene, Cadmium, Carbon Monoxide, Chromium, Formaldehyde, Lead, Xylene",Hyperaccumulator,N/A,"1) B. C. Wolverton and J.D. Wolverton. ""Plants and Soil Microorganisms: Removal of Formaldehyde, Xylene, Ammonia From the Indoor Environment"". Retrieved 2011-08-27.
 2) http://www.flickr.com/photos/adaduitokla/6079941138/(Photo Source)",Hardiness zone 9-10.,
Phormium tenax,New Zealand Flax,,Petroleum,Tolerant,N/A,"1) Analysis of Phytoscapes Species for BP Retail Sites. Kim Tsao. David Tsao, Ph.D. BP Group Environmental Management Company. 28 March 2003",Shrub. Variety: Wings of Gold. USDA Zones: 9-11,
Photinia fraseri,Red Tip Photinia,,Petroleum,Tolerant,N/A,"1) Analysis of Phytoscapes Species for BP Retail Sites. Kim Tsao. David Tsao, Ph.D. BP Group Environmental Management Company. 28 March 2003",Shrub. Hardiness zones 7 through 9.,
Phragmites australis,Common Reed Grass,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/da52fdb1-8ebd-4b59-a2e2-12d7160191d8/CommonReedGrass.jpg?content-type=image%2Fjpeg,Acid Mine Drainage,Accumulator,"Rhizodegradation, Phytoextraction, Phytostabilization, Rhizoremediation","1) Reed, S.C. (1995). Natural systems for waste management and treatment. McGraw Hill, Inc.
 2) http://www.flickr.com/photos/plant_diversity/3850698413/ (Photo Source)
 3) Hechmi N, Ben Aissa N, Abdenaceur H, Jedidi N. Uptake and Bioaccumulation of Pentachlorophenol by Emergent Wetland Plant Phragmites australis (Common Reed) in Cadmium Co-contaminated Soil. Int J Phytoremediation. 2015;17(1-6):109-116. doi:10.1080/15226514.2013.851169
 4) Guo L, Cutright TJ. Remediation of AMD Contaminated Soil by Two Types of Reeds. Int J Phytoremediation. 2015;17(1-6):391-403. doi:10.1080/15226514.2014.910170
 5) (Phyto Textbook) Ribeiro, H., Almeida, C., Mucha, A., ad Bordalo, A. 2013. Influence of different salt marsh plants on hydrocarbon degrading microorganisms abundance throughout a phenological cycle. International Journal of Phytoremediation 15 (3), pp. 245-256.",Emergent height: 3-6 ft. Water use: Medium light requirement: Sun. Hardiness zone 4-8.,
Phragmites karka,Perennial Grass,,Arsenic,Accumulator,"Phyotextraction, Evapotranspiration?","1) Badejo AA, Sridhar MK, Coker AO, Ndambuki JM, Kupolati WK. Phytoremediation of Water Using Phragmites karka and Veteveria nigritana in Constructed Wetland. Int J Phytoremediation. 2015;17(9):847-852. doi:10.1080/15226514.2014.964849
 2) Raj A, Jamil S, Srivastava PK, Tripathi RD, Sharma YK, Singh N. Feasibility Study of Phragmites karka and Christella dentata Grown in West Bengal as Arsenic Accumulator. Int J Phytoremediation. 2015;17(9):869-878. doi:10.1080/15226514.2014.964845",,
Phytolacca acinosa Roxb. w/ Arthrobacter echigonensis MN 1405,Indian Pokeweed,,Manganese,Hyperaccumulator,Phytoextraction,"Li, Fengyu, et al. â€œPhytolacca AcinosaRoxb. WithArthrobacter echigonensisMN1405 Enhances Heavy Metal Phytoremediation.â€ International Journal of Phytoremediation, vol. 18, no. 10, 2016, pp. 956â€“965., doi:10.1080/15226514.2016.1183573.",,
Phytolacca americana,Pokeweed,,Rare Earth Element,Accumulator,,"Yuan M, Liu C, Liu WS, et al. Accumulation and fractionation of rare earth elements (REEs) in the naturally grown Phytolacca americana L. in southern China. Int J Phytoremediation. 2018;20(5):415-423. doi:10.1080/15226514.2017.1365336",,
Picea mariana,Black Spruce,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/caea1e58-60ec-4ccb-9b5e-759d03db7b0a/BlackSpruce.jpg?content-type=image%2Fjpeg,Uranium,N/A,N/A,"1) Fryer, Janet L. 2011. Microstegium vimineum. In: Fire Effects Information System, [Online]. U.S. Department of Agriculture, Forest Service, Rocky Mountain Research Station, Fire Sciences Laboratory (Producer). Available: http://www.fs.fed.us/database/feis/ [2011, December 7].
 2) Phytoremediation of RadioÃ‚Â¬nuclides. Dushenkov et al. 1998, Negri and Hinchman 2000, Huang et al. 1998, et al. 1997, Negri and Hinchman 2000, Dushenkov et al. 1998. http://rydberg.biology.colostate.edu/Phytoremediation/2000/Lawra/BZ580.htm
 3) http://www.flickr.com/photos/esagor/2451936686/(Photo Source)",Hardiness zone 2-6.,
Picea pungens,Dwarf Globe Blue Spruce,,Petroleum,Tolerant,N/A,"1) Analysis of Phytoscapes Species for BP Retail Sites. Kim Tsao. David Tsao, Ph.D. BP Group Environmental Management Company. 28 March 2003",Shrub. Hardiness zone 2-8.,
Pinus mugo,Mugo Pine,,Particulate Matter,Accumulator,Phytoaccumulation,"(Phyto Textbook) Saebo, A., Popek, R., Nawrot, B., Hanslin, H., Gawronska, H. and Gawronski, S. 2013. Plant species differences in particulate matter accumulation on leaf surfaces. Science of the Total Envrionment 427, pp. 347-354.",,
Pinus mugo pumilo,Dwarf Mugo Pine,,Petroleum,Tolerant,N/A,"1) Analysis of Phytoscapes Species for BP Retail Sites. Kim Tsao. David Tsao, Ph.D. BP Group Environmental Management Company. 28 March 2003",Shrub. Hardiness zone 3-8.,
Pinus nigra,Austrian Pine,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/68808c9a-4841-4f40-b76c-d4827c46acc1/AustrianPine.jpg?content-type=image%2Fjpeg,Polychlorinated Biphenyl (Pcb),N/A,Rhizodegradation,"1) Leigh, M.B., J. Fletcher, D.P. Nagle, P. Prouzova, M. Mackova and T. Macek (2003) Rhizoremediation of PCBS: Mechanistic and Field Investigations
 2)http://www.flickr.com/photos/verzo/5633978439/(Photo Source)",Also known as European Black Pine. Grows best in hardiness zones 4-7. Austrian pine and Black locust significantly increased the number of PCB-degrading bacteria in their rhizospheres.,
Pinus ponderosa,Ponderosa Pine,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/bd56df80-240d-4158-acf9-fe9bc73167ab/PonderosaPine.jpg?content-type=image%2Fjpeg,"Plutonium, Strontium",Accumulator,N/A,"1) http://www.ubcbotanicalgarden.org/potd/2005/06/pinus_ponderosa.php
 2) http://www.flickr.com/photos/prayingmother/4009646343/(Photo Source)",Hardiness Zones: Zones 3 - 7,
Pinus radiata,Monterey Pine,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/b2f54deb-8dbf-415d-9382-1d01a2311007/MontereyPine.jpg?content-type=image%2Fjpeg,"Cesium, Strontium, Tritium, Uranium",Accumulator,N/A,"1) Phytoremediation of RadioÃ‚Â¬nuclides. Dushenkov et al. 1998, Negri and Hinchman 2000, Huang et al. 1998, et al. 1997, Negri and Hinchman 2000, Dushenkov et al. 1998. http://rydberg.biology.colostate.edu/Phytoremediation/2000/Lawra/BZ580.htm
 2) http://www.flickr.com/photos/magnuscanis/77506045/ (Photo Source)",Tree able to accumulate radionuclides. USDA Hardiness Zone: 7 to 9,
Pinus strobus,Eastern White Pine,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/50fe07d3-dcca-41a3-b6a5-afecda449540/EasternWhitePine.jpg?content-type=image%2Fjpeg,"Hydrocarbons, Organic Solvents, Perchloroethylene (Pce), Trichloroethylene (Tce) Â And By-Products, Vinyl Chloride, Hydrocarbons, Organic Solvents",N/A,N/A,"1) http://tinyurl.com/7dvtfpk (Photo Source)
 2) Ferro, A., Chard, B., Gefell, M., Thompson, B., and R. Kjelgren. 200 ""Phytoremediation of Organic Solvents in Groundwater: Pilot Study at a Superfund Site""Â. In: G. Wickramanayake, A. Gavaskar, B. Alleman, and V. Magar (eds.) Bioremediation and Phytoremediation of Chlorinated and Recalcitrant Compounds, p461-466. Battelle Press, Columbus, Ohio.; Ferro, A., Kennedy, J., Kjelgren, R., Rieder, J., and S. Perrin. 1999. ""Toxicity Assessment of Volatile Organic Compounds in Poplar Trees""Â. International Journal of Phytoremediation. 1(1): 9-17. 
 3) McCutcheon, S.C., & Schnoor, J.L. (Eds.). (2003). Phytoremediation: Transformation and Control of Contaminants. Hoboken, New Jersey: Wiley-Interscience, Inc. http://www.superorg.net/archive/proposal/pla_20species_phyto.pdf",Hardiness Zones: Zones 3 - 8.,
Pinus strobus,White Pine,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/7536ea05-d682-4435-9dff-86700bfac131/WhitePine.jpg?content-type=image%2Fjpeg,"Hydrocarbons, Organic Solvents, Perchloroethylene (Pce), Trichloroethylene (Tce) Â And By-Products, Vinyl Chloride, Hydrocarbons, Organic Solvents",N/A,N/A,"1) McCutcheon, S.C., & Schnoor, J.L. (Eds.). (2003). Phytoremediation: Transformation and Control of Contaminants. Hoboken, New Jersey: Wiley-Interscience, Inc. http://www.superorg.net/archive/proposal/plant_species_phyto.pdf
 2)http://www.flickr.com/photos/jstephenconn/3050128941/ (Photo Source)",Hardiness Zones: Zones 3 - 8.,
Pinus sylvestris,Scots Pine,,Particulate Matter,Accumulator,Phytoaccumulation,"(Phyto Textbook) Saebo, A., Popek, R., Nawrot, B., Hanslin, H., Gawronska, H. and Gawronski, S. 2013. Plant species differences in particulate matter accumulation on leaf surfaces. Science of the Total Envrionment 427, pp. 347-354.",,
Pinus taeda,Loblolly Pine,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/7d2ad7af-cd31-42b2-a6e5-66070c9930fd/LoblollyPine.jpg?content-type=image%2Fjpeg,"Chlorobenzene, Benzene",Tolerant,"Phytodegradation, Rhizodegradation, Phytovolatilization","1) Walton, B.T and Anderson, T.A. 1990. ""Microbial Degradation of Trichloroethylene in the Rhizosphere: Potential Application to Biological Remediation of Waste Sites"". Applied and Environmental Microbiology, Apr 1990, p. 1012-1016. Kim, RH et. Al. (2003) 
 2) Remediation of VOC-Contaminated Groundwater at the Savannah River Site by Phyto-Irrigation. Abstracts from US EPA International Applied Phytotechnologies Workshop March 3-5, 2003 Chicago, IL 
 3)http://www.flickr.com/photos/79666107@N00/5746324057/(Photo Source)
 4) Barcellos D, Morris LA, Nzengung V, Moura T, Mantripragada N, Thompson A. Eucalyptus urograndis and Pinus taeda enhance removal of chlorobenzene and benzene in sand culture: A greenhouse study. Int J Phytoremediation. 2016;18(10):977-984. doi:10.1080/15226514.2016.1183565",Hydraulic control. USDA hardiness zones: 6B through 9B.,
Pistacia chinensis,Chinese Pistachio,,Petroleum,Tolerant,N/A,"1) Analysis of Phytoscapes Species for BP Retail Sites. Kim Tsao. David Tsao, Ph.D. BP Group Environmental Management Company. 28 March 2003",Tree. Hardiness zone 6b-9,
Pistia stratiotes,Water Lettuce,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/44ad567b-2e92-4148-8a3f-596d60f254f3/WaterLettuce.jpg?content-type=image%2Fjpeg,"Iron, Manganese, Chromium, Lead, Copper",Accumulator,"Phytoextraction, Rhizofiltration","1) http://www.ncbi.nlm.nih.gov/pubmed/19104863
 2) McCutcheon, S.C., & Schnoor, J.L. (Eds.). (2003). Phytoremediation: Transformation and Control of Contaminants. Hoboken, New Jersey: Wiley-Interscience, Inc. http://www.superorg.net/archive/proposal/plant%20species%20phyto.pdf
 3) Victor KK, SÃ©ka Y, Norbert KK, Sanogo TA, Celestin AB. Phytoremediation of wastewater toxicity using water hyacinth (Eichhornia crassipes) and water lettuce (Pistia stratiotes). Int J Phytoremediation. 2016;18(10):949-955. doi:10.1080/15226514.2016.1183567
 4) Galal TM, Eid EM, Dakhil MA, Hassan LM. Bioaccumulation and rhizofiltration potential of Pistia stratiotes L. for mitigating water pollution in the Egyptian wetlands. Int J Phytoremediation. 2018;20(5):440-447. doi:10.1080/15226514.2017.1365343",Hardy to zone 10.,
Pisum sativum,Garden Pea,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/67119bd5-f74f-4847-b9d6-45a184caa7a3/GardenPea.jpg?content-type=image%2Fjpeg,"Bromine, Polycyclic Aromatic Hydrocarbons",Accumulator,Phytoextraction,"1) Phytoremediation of Lead Contaminated Rifle Range Soils, CFB Chilliwack, BC. RMC-CCE-ES-00-13. Environment Canada, 2000.
 2) http://www.flickr.com/photos/katja-london/1119805344/(Photo Source) 
 3) Zhu S, Ma X, Guo R, et al. A field study on heavy metals phytoattenuation potential of monocropping and intercropping of maize and/or legumes in weakly alkaline soils. Int J Phytoremediation. 2016;18(10):1014-1021. doi:10.1080/15226514.2016.1183570
 4) Shtangeeva I, PerÃ¤mÃ¤ki P, NiemelÃ¤ M, Kurashov E, Krylova Y. Potential of wheat (Triticum aestivum L.) and pea (Pisum sativum) for remediation of soils contaminated with bromides and PAHs. Int J Phytoremediation. 2018;20(6):560-566. doi:10.1080/15226514.2017.1405375",Hardiness Zone: USDA Zones 7-9,
Pittosporum tobira,Pittosporum,,Petroleum,Tolerant,N/A,"1) Analysis of Phytoscapes Species for BP Retail Sites. Kim Tsao. David Tsao, Ph.D. BP Group Environmental Management Company. 28 March 2003",Shrub. Variety: Variegata. USDA hardiness zones: 8B through 11,
Pityrogramma calomelanos,Dixie Silverback Fern,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/49ec766e-5d98-47fe-b8cd-3262bcc1a9c9/DixieSilverbackFern.jpg?content-type=image%2Fjpeg,"Chromium, Copper, Lead, Mercury",N/A,N/A,"1) Fryer, Janet L. 2011. Microstegium vimineum. In: Fire Effects Information System, [Online]. U.S. Department of Agriculture, Forest Service, Rocky Mountain Research Station, Fire Sciences Laboratory (Producer). Available: http://www.fs.fed.us/database/feis/ [2011, December 7].
 2) http://www.flickr.com/photos/adaduitokla/6364600451/(Photo Source)",Also known as Silverback Fern,
Planchonella oxyhedra,,,Nickel,Hyperaccumulator,,"Hamdan AM, Bijaksana S, Tjoa A, Dahrin D, Kirana KH. Magnetic characterizations of nickel hyperaccumulating plants (Planchonella oxyhedra and Rinorea bengalensis) from Halmahera, Indonesia. Int J Phytoremediation. 2019;21(4):364-371. doi:10.1080/15226514.2018.1524839",,
